Year,Qualification,Value
2006,Certificate I or secondary education,20.9
2007,Certificate I or secondary education,19
2008,Certificate I or secondary education,17
2009,Certificate I or secondary education,17.8
2010,Certificate I or secondary education,15.8
2011,Certificate I or secondary education,15
2012,Certificate I or secondary education,14.8
2013,Certificate I or secondary education,14.7
2014,Certificate I or secondary education,14.2
2015,Certificate I or secondary education,13.1
2016,Certificate I or secondary education,13
2017,Certificate I or secondary education,12.5
2018,Certificate I or secondary education,11.3
2019,Certificate I or secondary education,10.7
2006,Certificate II or III,28.7
2007,Certificate II or III,28.7
2008,Certificate II or III,26.7
2009,Certificate II or III,26.1
2010,Certificate II or III,26.7
2011,Certificate II or III,27
2012,Certificate II or III,27
2013,Certificate II or III,27.6
2014,Certificate II or III,27.9
2015,Certificate II or III,27.5
2016,Certificate II or III,27.2
2017,Certificate II or III,27.3
2018,Certificate II or III,27.1
2019,Certificate II or III,26.9
2006,Certificate IV or III,11.1
2007,Certificate IV or III,10.8
2008,Certificate IV or III,10.7
2009,Certificate IV or III,11.1
2010,Certificate IV or III,12
2011,Certificate IV or III,12
2012,Certificate IV or III,12
2013,Certificate IV or III,12
2014,Certificate IV or III,12.3
2015,Certificate IV or III,11.9
2016,Certificate IV or III,12.1
2017,Certificate IV or III,12.7
2018,Certificate IV or III,12.8
2019,Certificate IV or III,12.5
2006,Advanced Diploma or Diploma,7.5
2007,Advanced Diploma or Diploma,8.2
2008,Advanced Diploma or Diploma,9.2
2009,Advanced Diploma or Diploma,8.9
2010,Advanced Diploma or Diploma,9.2
2011,Advanced Diploma or Diploma,9.2
2012,Advanced Diploma or Diploma,9.2
2013,Advanced Diploma or Diploma,9.6
2014,Advanced Diploma or Diploma,10
2015,Advanced Diploma or Diploma,10.4
2016,Advanced Diploma or Diploma,10.5
2017,Advanced Diploma or Diploma,10.2
2018,Advanced Diploma or Diploma,10.1
2019,Advanced Diploma or Diploma,10
2006,Bachelor degree or higher ,31.8
2007,Bachelor degree or higher ,33.2
2008,Bachelor degree or higher ,36.4
2009,Bachelor degree or higher ,36.1
2010,Bachelor degree or higher ,36.3
2011,Bachelor degree or higher ,36.8
2012,Bachelor degree or higher ,37
2013,Bachelor degree or higher ,36.1
2014,Bachelor degree or higher ,35.6
2015,Bachelor degree or higher ,37
2016,Bachelor degree or higher ,37.3
2017,Bachelor degree or higher ,37.3
2018,Bachelor degree or higher ,38.6
2019,Bachelor degree or higher ,39.9
