Year,ANZSCO,Occupation,Skill Level,Automation probability,Employed total,Share of workforce (%),Sub-Major Group,Major Group
1988,2412,Primary School Teachers,1,5.7,107389,1.52,Education Professionals,Professionals
1989,2412,Primary School Teachers,1,5.7,103743,1.4,Education Professionals,Professionals
1990,2412,Primary School Teachers,1,5.7,113932,1.52,Education Professionals,Professionals
1991,2412,Primary School Teachers,1,5.7,107958,1.48,Education Professionals,Professionals
1992,2412,Primary School Teachers,1,5.7,111885,1.54,Education Professionals,Professionals
1993,2412,Primary School Teachers,1,5.7,120279,1.65,Education Professionals,Professionals
1994,2412,Primary School Teachers,1,5.7,115521,1.54,Education Professionals,Professionals
1995,2412,Primary School Teachers,1,5.7,118265,1.51,Education Professionals,Professionals
1996,2412,Primary School Teachers,1,5.7,112280,1.42,Education Professionals,Professionals
1997,2412,Primary School Teachers,1,5.7,121112,1.52,Education Professionals,Professionals
1998,2412,Primary School Teachers,1,5.7,122971,1.52,Education Professionals,Professionals
1999,2412,Primary School Teachers,1,5.7,129500,1.57,Education Professionals,Professionals
2000,2412,Primary School Teachers,1,5.7,124008,1.46,Education Professionals,Professionals
2001,2412,Primary School Teachers,1,5.7,137586,1.6,Education Professionals,Professionals
2002,2412,Primary School Teachers,1,5.7,130711,1.49,Education Professionals,Professionals
2003,2412,Primary School Teachers,1,5.7,137016,1.53,Education Professionals,Professionals
2004,2412,Primary School Teachers,1,5.7,138751,1.54,Education Professionals,Professionals
2005,2412,Primary School Teachers,1,5.7,132466,1.42,Education Professionals,Professionals
2006,2412,Primary School Teachers,1,5.7,140375,1.46,Education Professionals,Professionals
2007,2412,Primary School Teachers,1,5.7,140908,1.42,Education Professionals,Professionals
2008,2412,Primary School Teachers,1,5.7,146783,1.44,Education Professionals,Professionals
2009,2412,Primary School Teachers,1,5.7,130706,1.28,Education Professionals,Professionals
2010,2412,Primary School Teachers,1,5.7,146840,1.42,Education Professionals,Professionals
2011,2412,Primary School Teachers,1,5.7,145832,1.38,Education Professionals,Professionals
2012,2412,Primary School Teachers,1,5.7,141009,1.32,Education Professionals,Professionals
2013,2412,Primary School Teachers,1,5.7,151927,1.42,Education Professionals,Professionals
2014,2412,Primary School Teachers,1,5.7,150696,1.4,Education Professionals,Professionals
2015,2412,Primary School Teachers,1,5.7,148390,1.36,Education Professionals,Professionals
2016,2412,Primary School Teachers,1,5.7,145243,1.31,Education Professionals,Professionals
2017,2412,Primary School Teachers,1,5.7,158856,1.38,Education Professionals,Professionals
2018,2412,Primary School Teachers,1,5.7,165836,1.4,Education Professionals,Professionals
1988,2414,Secondary School Teachers,1,0.8,110247,1.56,Education Professionals,Professionals
1989,2414,Secondary School Teachers,1,0.8,115327,1.56,Education Professionals,Professionals
1990,2414,Secondary School Teachers,1,0.8,111393,1.48,Education Professionals,Professionals
1991,2414,Secondary School Teachers,1,0.8,117324,1.6,Education Professionals,Professionals
1992,2414,Secondary School Teachers,1,0.8,122356,1.68,Education Professionals,Professionals
1993,2414,Secondary School Teachers,1,0.8,117324,1.61,Education Professionals,Professionals
1994,2414,Secondary School Teachers,1,0.8,111055,1.48,Education Professionals,Professionals
1995,2414,Secondary School Teachers,1,0.8,118858,1.52,Education Professionals,Professionals
1996,2414,Secondary School Teachers,1,0.8,112534,1.42,Education Professionals,Professionals
1997,2414,Secondary School Teachers,1,0.8,114975,1.44,Education Professionals,Professionals
1998,2414,Secondary School Teachers,1,0.8,113203,1.39,Education Professionals,Professionals
1999,2414,Secondary School Teachers,1,0.8,118880,1.44,Education Professionals,Professionals
2000,2414,Secondary School Teachers,1,0.8,115657,1.36,Education Professionals,Professionals
2001,2414,Secondary School Teachers,1,0.8,119162,1.38,Education Professionals,Professionals
2002,2414,Secondary School Teachers,1,0.8,129716,1.48,Education Professionals,Professionals
2003,2414,Secondary School Teachers,1,0.8,129163,1.44,Education Professionals,Professionals
2004,2414,Secondary School Teachers,1,0.8,129034,1.43,Education Professionals,Professionals
2005,2414,Secondary School Teachers,1,0.8,130537,1.4,Education Professionals,Professionals
2006,2414,Secondary School Teachers,1,0.8,130996,1.36,Education Professionals,Professionals
2007,2414,Secondary School Teachers,1,0.8,133079,1.35,Education Professionals,Professionals
2008,2414,Secondary School Teachers,1,0.8,131178,1.29,Education Professionals,Professionals
2009,2414,Secondary School Teachers,1,0.8,138800,1.36,Education Professionals,Professionals
2010,2414,Secondary School Teachers,1,0.8,139332,1.34,Education Professionals,Professionals
2011,2414,Secondary School Teachers,1,0.8,127794,1.21,Education Professionals,Professionals
2012,2414,Secondary School Teachers,1,0.8,134854,1.26,Education Professionals,Professionals
2013,2414,Secondary School Teachers,1,0.8,132527,1.24,Education Professionals,Professionals
2014,2414,Secondary School Teachers,1,0.8,122272,1.14,Education Professionals,Professionals
2015,2414,Secondary School Teachers,1,0.8,138305,1.26,Education Professionals,Professionals
2016,2414,Secondary School Teachers,1,0.8,135552,1.22,Education Professionals,Professionals
2017,2414,Secondary School Teachers,1,0.8,134148,1.17,Education Professionals,Professionals
2018,2414,Secondary School Teachers,1,0.8,137364,1.16,Education Professionals,Professionals
1988,2422,Vocational Education Teachers,1,5.3,27763,0.39,Education Professionals,Professionals
1989,2422,Vocational Education Teachers,1,5.3,28783,0.39,Education Professionals,Professionals
1990,2422,Vocational Education Teachers,1,5.3,34942,0.46,Education Professionals,Professionals
1991,2422,Vocational Education Teachers,1,5.3,29410,0.4,Education Professionals,Professionals
1992,2422,Vocational Education Teachers,1,5.3,34560,0.47,Education Professionals,Professionals
1993,2422,Vocational Education Teachers,1,5.3,29460,0.4,Education Professionals,Professionals
1994,2422,Vocational Education Teachers,1,5.3,30951,0.41,Education Professionals,Professionals
1995,2422,Vocational Education Teachers,1,5.3,32259,0.41,Education Professionals,Professionals
1996,2422,Vocational Education Teachers,1,5.3,37927,0.48,Education Professionals,Professionals
1997,2422,Vocational Education Teachers,1,5.3,35285,0.44,Education Professionals,Professionals
1998,2422,Vocational Education Teachers,1,5.3,33774,0.41,Education Professionals,Professionals
1999,2422,Vocational Education Teachers,1,5.3,29741,0.36,Education Professionals,Professionals
2000,2422,Vocational Education Teachers,1,5.3,31313,0.37,Education Professionals,Professionals
2001,2422,Vocational Education Teachers,1,5.3,30581,0.35,Education Professionals,Professionals
2002,2422,Vocational Education Teachers,1,5.3,33230,0.38,Education Professionals,Professionals
2003,2422,Vocational Education Teachers,1,5.3,35332,0.39,Education Professionals,Professionals
2004,2422,Vocational Education Teachers,1,5.3,33982,0.37,Education Professionals,Professionals
2005,2422,Vocational Education Teachers,1,5.3,30528,0.32,Education Professionals,Professionals
2006,2422,Vocational Education Teachers,1,5.3,33278,0.34,Education Professionals,Professionals
2007,2422,Vocational Education Teachers,1,5.3,36610,0.37,Education Professionals,Professionals
2008,2422,Vocational Education Teachers,1,5.3,41267,0.4,Education Professionals,Professionals
2009,2422,Vocational Education Teachers,1,5.3,41878,0.41,Education Professionals,Professionals
2010,2422,Vocational Education Teachers,1,5.3,35765,0.34,Education Professionals,Professionals
2011,2422,Vocational Education Teachers,1,5.3,35026,0.33,Education Professionals,Professionals
2012,2422,Vocational Education Teachers,1,5.3,37352,0.35,Education Professionals,Professionals
2013,2422,Vocational Education Teachers,1,5.3,37851,0.35,Education Professionals,Professionals
2014,2422,Vocational Education Teachers,1,5.3,33578,0.31,Education Professionals,Professionals
2015,2422,Vocational Education Teachers,1,5.3,33386,0.3,Education Professionals,Professionals
2016,2422,Vocational Education Teachers,1,5.3,29053,0.26,Education Professionals,Professionals
2017,2422,Vocational Education Teachers,1,5.3,32883,0.28,Education Professionals,Professionals
2018,2422,Vocational Education Teachers,1,5.3,30029,0.25,Education Professionals,Professionals
1988,5111,"Contract, Program and Project Administrators",2,34.7,13974,0.19,Office Managers and Program Administrators,Clerical and Administrative Workers
1989,5111,"Contract, Program and Project Administrators",2,34.7,14733,0.2,Office Managers and Program Administrators,Clerical and Administrative Workers
1990,5111,"Contract, Program and Project Administrators",2,34.7,12301,0.16,Office Managers and Program Administrators,Clerical and Administrative Workers
1991,5111,"Contract, Program and Project Administrators",2,34.7,9187,0.12,Office Managers and Program Administrators,Clerical and Administrative Workers
1992,5111,"Contract, Program and Project Administrators",2,34.7,9147,0.12,Office Managers and Program Administrators,Clerical and Administrative Workers
1993,5111,"Contract, Program and Project Administrators",2,34.7,10973,0.15,Office Managers and Program Administrators,Clerical and Administrative Workers
1994,5111,"Contract, Program and Project Administrators",2,34.7,10498,0.13,Office Managers and Program Administrators,Clerical and Administrative Workers
1995,5111,"Contract, Program and Project Administrators",2,34.7,10163,0.13,Office Managers and Program Administrators,Clerical and Administrative Workers
1996,5111,"Contract, Program and Project Administrators",2,34.7,16108,0.2,Office Managers and Program Administrators,Clerical and Administrative Workers
1997,5111,"Contract, Program and Project Administrators",2,34.7,21819,0.27,Office Managers and Program Administrators,Clerical and Administrative Workers
1998,5111,"Contract, Program and Project Administrators",2,34.7,25283,0.31,Office Managers and Program Administrators,Clerical and Administrative Workers
1999,5111,"Contract, Program and Project Administrators",2,34.7,39674,0.48,Office Managers and Program Administrators,Clerical and Administrative Workers
2000,5111,"Contract, Program and Project Administrators",2,34.7,44753,0.52,Office Managers and Program Administrators,Clerical and Administrative Workers
2001,5111,"Contract, Program and Project Administrators",2,34.7,47630,0.55,Office Managers and Program Administrators,Clerical and Administrative Workers
2002,5111,"Contract, Program and Project Administrators",2,34.7,47817,0.54,Office Managers and Program Administrators,Clerical and Administrative Workers
2003,5111,"Contract, Program and Project Administrators",2,34.7,52275,0.58,Office Managers and Program Administrators,Clerical and Administrative Workers
2004,5111,"Contract, Program and Project Administrators",2,34.7,55546,0.61,Office Managers and Program Administrators,Clerical and Administrative Workers
2005,5111,"Contract, Program and Project Administrators",2,34.7,61406,0.66,Office Managers and Program Administrators,Clerical and Administrative Workers
2006,5111,"Contract, Program and Project Administrators",2,34.7,64971,0.67,Office Managers and Program Administrators,Clerical and Administrative Workers
