Year,ANZSCO,Occupation,Skill Level,Automation probability,Employed total ('000)
1988,1111,Chief Executives and Managing Directors,1,14,21.87659401
1988,1413,Hotel and Motel Managers,2,0.4,21.21795424
1988,1112,General Managers,1,14,19.21630962
1988,1311,"Advertising, Public Relations and Sales Managers",1,1.5,50.712013
1988,1344,Other Education Managers,1,0.7,4.255108083
1988,1211,Aquaculture Farmers,1,31.2,1.81888578
1988,1343,School Principals,1,0.7,9.437100745
1988,1212,Crop Farmers,1,51,48.48166671
1988,1325,Research and Development Managers,1,1.7,3.369289173
1988,1213,Livestock Farmers,1,37.4,95.06203922
1988,1334,Manufacturers,1,3,26.26826925
1988,1214,Mixed Crop and Livestock Farmers,1,59,106.4535565
1988,1341,Child Care Centre Managers,1,1.5,3.570366628
1988,1351,ICT Managers,1,3.5,8.820430403
1988,1321,Corporate Services Managers,1,38.9,2.112839385
1988,1493,Conference and Event Organisers,2,4.9,3.29361181
1988,1322,Finance Managers,1,6.9,23.33299293
1988,1342,Health and Welfare Services Managers,1,5,3.063818815
1988,1323,Human Resource Managers,1,11.3,9.943581775
1988,1335,Production Managers,1,5.5,32.35328082
1988,1324,Policy and Planning Managers,1,25,17.10213804
1988,1411,Cafe and Restaurant Managers,2,8.3,27.84986985
1988,1331,Construction Managers,1,9.5,51.63911074
1988,1332,Engineering Managers,1,25,3.015039955
1988,1333,"Importers, Exporters and Wholesalers",1,23.9,11.9573714
1988,1399,Other Specialist Managers,1,13.1,10.28460894
1988,1336,"Supply, Distribution and Procurement Managers",1,59,10.01431335
1988,1421,Retail Managers,2,16.1,190.7060153
1988,1491,"Amusement, Fitness and Sports Centre Managers",2,23.7,5.53557313
1988,1412,Caravan Park and Camping Ground Managers,2,25,3.475207018
1988,1414,Licensed Club Managers,2,25,4.661837743
1988,1391,Commissioned Officers (Management),1,25,1.079602025
1988,1419,Other Accommodation and Hospitality Managers,2,26.1,4.425451868
1988,1499,"Other Hospitality, Retail and Service Managers",2,26.4,55.7723357
1988,1492,Call or Contact Centre and Customer Service Managers,2,49.9,11.46289511
1988,1494,Transport Services Managers,2,59,13.79351574
1988,2511,Nutrition Professionals,1,0.4,0.876984108
1988,2111,"Actors, Dancers and Other Entertainers",1,21.4,3.356776408
1988,2112,Music Professionals,1,5.2,7.81998504
1988,2491,Education Advisers and Reviewers,1,0.4,6.521463638
1988,2113,Photographers,1,2.1,5.542013573
1988,2114,Visual Arts and Crafts Professionals,1,16.5,10.38803084
1988,2723,Psychologists,1,0.5,4.52984181
1988,2121,"Artistic Directors, and Media Producers and Presenters",1,10,5.23828354
1988,2122,"Authors, and Book and Script Editors",1,38.5,2.96049316
1988,2523,Dental Practitioners,1,0.5,5.336078503
1988,2123,"Film, Television, Radio and Stage Directors",1,8.5,5.431889928
1988,2527,Audiologists and Speech Pathologists \ Therapists,1,0.6,2.63492638
1988,2124,Journalists and Other Writers,1,17,15.61716486
1988,2211,Accountants,1,94.3,76.62381842
