Year,ANZSCO,Occupation,Skill Level,Automation probability,Employed total,Share of workforce (%),Sub-Major Group,Major Group
1988,2114,Visual Arts and Crafts Professionals,1,16.5,10388,0.14,Arts and Media Professionals,Professionals
1988,2121,"Artistic Directors, and Media Producers and Presenters",1,10,5238,0.07,Arts and Media Professionals,Professionals
1988,2112,Music Professionals,1,5.2,7820,0.11,Arts and Media Professionals,Professionals
1988,2113,Photographers,1,2.1,5542,0.07,Arts and Media Professionals,Professionals
1988,2122,"Authors, and Book and Script Editors",1,38.5,2960,0.04,Arts and Media Professionals,Professionals
1988,2111,"Actors, Dancers and Other Entertainers",1,21.4,3357,0.04,Arts and Media Professionals,Professionals
1988,2124,Journalists and Other Writers,1,17,15617,0.22,Arts and Media Professionals,Professionals
1988,2123,"Film, Television, Radio and Stage Directors",1,8.5,5432,0.07,Arts and Media Professionals,Professionals
1988,3242,Vehicle Body Builders and Trimmers,3,68.2,6334,0.09,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1988,3241,Panelbeaters,3,80.7,24663,0.35,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1988,3243,Vehicle Painters,3,79.6,10849,0.15,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1988,3221,"Metal Casting, Forging and Finishing Trades Workers",3,92.2,5868,0.08,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1988,3211,Automotive Electricians,3,59.2,7691,0.1,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1988,3234,Toolmakers and Engineering Patternmakers,3,79,11668,0.16,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1988,3222,Sheetmetal Trades Workers,3,80.7,14189,0.2,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1988,3223,Structural Steel and Welding Trades Workers,3,83.2,64373,0.91,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1988,3231,Aircraft Maintenance Engineers,3,52.4,7055,0.1,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1988,3233,Precision Metal Trades Workers,3,55.8,9888,0.14,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1988,3212,Motor Mechanics,3,65.1,94219,1.34,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1988,3232,Metal Fitters and Machinists,3,64.4,112216,1.59,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1988,2232,ICT Trainers,1,1.4,2815,0.04,"Business, Human Resource and Marketing Professionals",Professionals
1988,2231,Human Resource Professionals,1,24.8,17847,0.25,"Business, Human Resource and Marketing Professionals",Professionals
1988,2241,"Actuaries, Mathematicians and Statisticians",1,11.9,2089,0.02,"Business, Human Resource and Marketing Professionals",Professionals
1988,2233,Training and Development Professionals,1,1.4,7004,0.09,"Business, Human Resource and Marketing Professionals",Professionals
1988,2223,Financial Investment Advisers and Managers,1,43.8,13830,0.19,"Business, Human Resource and Marketing Professionals",Professionals
